Total_size,LotArea,Neighborhood,BldgType_clean,OverallQual,Age_at_sale,ExterQual,Outdoor_Porch_Size,YrSold,KitchenQual,Fireplaces,log_sales
2285,11645,CollgCr,1Fam,7,2,Gd,70,2006,Gd,0,12.188417710291453
3586,13682,StoneBr,1Fam,10,0,Ex,192,2006,Gd,1,12.991753427493052
1764,7200,CollgCr,1Fam,5,36,TA,196,2008,TA,0,11.73526869611367
2675,13072,SawyerW,1Fam,6,2,TA,50,2006,Gd,0,11.970350312009105
1399,7200,IDOTRR,1Fam,5,11,TA,0,2007,Fa,0,11.522875795823397
1878,6442,NridgHt,Twnhs,8,1,Gd,169,2007,Gd,1,12.218495165528731
2190,10300,OldTown,1Fam,7,60,TA,23,2010,TA,0,11.84939770159144
3418,9375,CollgCr,1Fam,7,11,TA,612,2009,Gd,0,12.299107511497363
3325,9591,NridgHt,1Fam,8,2,Gd,343,2007,Gd,1,12.666657052859417
3695,19900,NAmes,1Fam,7,21,TA,301,2010,TA,1,12.100712129872347
3050,10665,CollgCr,1Fam,7,4,Gd,173,2007,Gd,0,12.328290278254423
967,4608,OldTown,1Fam,4,60,TA,0,2010,TA,0,11.289781913656018
3557,15593,ClearCr,1Fam,7,53,Gd,21,2006,TA,1,12.323855681186558
4619,13651,NAmes,1Fam,7,34,TA,300,2007,TA,2,12.404923504275338
1770,7599,Mitchel,1Fam,4,1,TA,0,2007,TA,0,11.771436160121729
2145,10141,Gilbert,1Fam,7,11,TA,94,2009,TA,1,12.128111104060462
2258,10200,NAmes,1Fam,5,7,TA,0,2010,TA,0,11.883799128308773
1984,5790,OldTown,1Fam,3,60,Gd,0,2010,TA,0,11.584315461056901
1747,1596,MeadowV,Twnhs,4,36,TA,221,2009,TA,0,11.418614785498987
1463,8475,NAmes,1Fam,4,52,TA,0,2008,TA,0,11.818570237796182
1902,8635,BrkSide,1Fam,5,7,TA,0,2008,TA,0,11.751942365440728
1768,10778,Sawyer,Duplex,4,42,TA,0,2010,TA,0,11.824079893607152
1670,10440,OldTown,1Fam,5,28,TA,74,2009,TA,0,11.608235644774552
3099,13000,NAmes,1Fam,6,41,TA,72,2009,Gd,1,12.173032791451973
2943,4500,Mitchel,Twnhs,6,8,TA,199,2006,TA,0,11.941455846009388
2354,10206,Somerst,1Fam,8,1,TA,243,2008,Gd,1,12.409013489526863
1526,8892,NAmes,1Fam,5,47,TA,74,2007,TA,0,11.747997587149712
1874,8530,Gilbert,1Fam,7,13,TA,192,2009,TA,1,12.034691028774553
2879,16059,NoRidge,1Fam,8,14,Gd,209,2006,Gd,1,12.468436909997665
1960,11911,Gilbert,1Fam,6,4,Gd,138,2009,Gd,1,12.066810578196666
1752,3951,Somerst,Twnhs,6,0,Gd,234,2009,Gd,0,12.010665849187564
1013,8470,IDOTRR,1Fam,3,27,Fa,0,2009,Fa,0,11.350406535472453
1578,8070,CollgCr,1Fam,4,12,TA,0,2007,TA,0,11.724805824005728
1460,7200,NAmes,1Fam,4,56,TA,29,2006,TA,0,11.607326140391713
2315,8500,NAmes,1Fam,5,45,TA,0,2006,TA,0,11.498826540590727
2109,13360,Crawfor,1Fam,5,3,TA,0,2009,TA,0,12.004568269319446
3843,7200,OldTown,2fmCon,6,9,TA,0,2007,TA,1,11.804848531679264
3118,9337,CollgCr,1Fam,6,10,TA,162,2007,Gd,0,12.229545001715316
2200,9765,Gilbert,1Fam,6,16,Ex,295,2009,TA,1,12.128111104060462
3222,10264,CollgCr,1Fam,7,7,Gd,187,2006,Gd,0,12.273731294003989
1912,10921,Edwards,1Fam,4,42,TA,120,2007,TA,0,11.458997122944673
1309,10625,Edwards,1Fam,5,60,TA,0,2010,TA,0,11.326595886778735
1794,9320,NAmes,1Fam,4,51,TA,352,2010,TA,0,11.76718001130949
3290,10603,NWAmes,1Fam,6,9,TA,236,2010,Gd,2,12.230765258120545
2208,9206,SawyerW,1Fam,6,25,Gd,238,2010,Gd,1,12.089538829274222
1945,7018,SawyerW,Duplex,5,30,TA,0,2009,TA,0,11.686576205316552
1966,10402,CollgCr,1Fam,7,1,TA,36,2010,Gd,0,12.200557464842063
2282,7758,IDOTRR,1Fam,7,57,TA,0,2007,TA,2,12.040608205802641
2640,9375,Somerst,1Fam,8,4,Gd,185,2008,Gd,1,12.429216196844383
1320,10800,OldTown,1Fam,4,12,TA,0,2007,TA,0,11.512925464970229
1312,6000,OldTown,1Fam,5,58,TA,0,2008,TA,0,11.652687407345388
1517,8500,IDOTRR,1Fam,5,2,TA,0,2007,Fa,0,11.652687407345388
3095,11751,NWAmes,1Fam,6,33,TA,122,2010,TA,1,12.154779351142624
2624,9525,Edwards,1Fam,6,34,TA,182,2006,TA,0,11.82700601127654
2080,7750,Gilbert,1Fam,7,10,TA,180,2010,TA,1,12.100712129872347
4472,9965,CollgCr,1Fam,7,0,Gd,304,2007,Ex,1,12.858319703517948
3613,21000,Crawfor,1Fam,6,54,TA,286,2007,Gd,2,12.287652632522597
3424,7259,Crawfor,1Fam,6,5,TA,224,2007,Gd,1,12.46651198158808
2317,3230,Somerst,Twnhs,6,8,TA,32,2007,TA,1,12.078239274020289
2220,11616,Sawyer,1Fam,5,47,TA,20,2009,TA,1,11.842229212112828
1555,8536,Edwards,1Fam,5,0,TA,144,2007,TA,0,11.951180395901384
5286,12376,SawyerW,1Fam,7,20,TA,367,2010,Gd,2,12.676076274775909
1846,8461,CollgCr,1Fam,6,0,Gd,24,2006,Gd,1,12.007560729337492
2466,21453,ClearCr,1Fam,6,37,TA,130,2006,TA,2,12.100712129872347
1387,6060,IDOTRR,1Fam,4,57,TA,0,2007,TA,0,11.512925464970229
1938,9464,NAmes,1Fam,6,50,TA,0,2008,TA,0,11.820410164718188
2029,7892,SawyerW,Twnhs,6,15,Gd,63,2008,Gd,0,11.94405831982697
2021,17043,NWAmes,1Fam,6,11,TA,192,2009,TA,1,12.106252310247962
1010,6780,IDOTRR,2fmCon,6,24,TA,53,2006,TA,0,11.344506813345266
1518,4928,NPkVill,Twnhs,6,31,TA,205,2007,TA,1,11.759785542901755
956,4388,OldTown,1Fam,5,57,TA,0,2007,TA,1,11.37366339763672
2313,7590,NAmes,1Fam,6,40,TA,296,2006,TA,1,11.951180395901384
2398,8973,NAmes,1Fam,5,15,TA,80,2006,Ex,0,11.918390573078392
3089,14200,NAmes,1Fam,7,40,TA,171,2006,Gd,2,12.328290278254423
3139,12224,Gilbert,1Fam,6,9,Gd,72,2009,Gd,1,12.404923504275338
2356,7388,NAmes,1Fam,5,5,TA,0,2007,Gd,0,11.923378114589433
2772,6853,Timber,1Fam,8,7,Gd,217,2009,Gd,0,12.301382825334498
2731,10335,Sawyer,1Fam,5,13,TA,96,2006,TA,1,12.100712129872347
2212,10400,NWAmes,1Fam,7,38,TA,98,2008,TA,1,12.066810578196666
2227,10355,NAmes,1Fam,5,40,TA,111,2007,TA,1,11.870599909242044
2725,11070,Mitchel,Duplex,7,17,TA,0,2006,TA,0,12.049418835484797
3180,9066,CollgCr,1Fam,8,8,Gd,330,2008,Gd,2,12.345834587905333
3055,15426,CollgCr,1Fam,6,12,TA,375,2009,Gd,0,12.352335152508426
1296,10500,NAmes,1Fam,4,39,TA,0,2010,TA,1,11.652687407345388
3694,11645,CollgCr,1Fam,7,1,Gd,184,2006,Gd,0,12.468436909997665
2612,8520,NAmes,1Fam,5,58,TA,0,2010,TA,0,12.01974306733868
2757,10335,CollgCr,1Fam,7,10,Gd,173,2009,Gd,0,12.225875272826354
3564,9100,Sawyer,Duplex,5,43,TA,0,2006,TA,0,11.736069016284437
2089,2522,Edwards,Twnhs,6,0,Gd,40,2006,Gd,0,11.77528972943772
1264,6120,BrkSide,1Fam,5,16,TA,48,2009,TA,0,11.56171562913966
2469,9505,Gilbert,1Fam,7,9,Gd,192,2010,Gd,1,12.312682380588432
1760,7500,SawyerW,1Fam,7,3,TA,0,2008,Gd,0,11.856515169360305
1584,6240,BrkSide,1Fam,5,56,TA,314,2006,TA,0,11.652687407345388
2125,10356,CollgCr,1Fam,5,32,TA,0,2007,TA,0,11.711776323715394
3976,13891,NridgHt,1Fam,8,0,Gd,102,2008,Gd,1,12.827729194939907
2904,14803,NWAmes,1Fam,6,35,TA,66,2006,TA,1,12.154779351142624
3325,13500,ClearCr,1Fam,6,33,TA,409,2008,TA,1,12.367340793126296
1512,11340,OldTown,1Fam,6,56,TA,0,2006,TA,0,11.736069016284437
1096,9600,Edwards,1Fam,6,58,TA,8,2008,TA,0,11.27720313144916
1665,7200,NAmes,1Fam,5,56,TA,0,2006,TA,0,11.603679828238693
2648,12003,Timber,1Fam,8,0,Gd,75,2010,Ex,1,12.504323669331189
2847,12552,Somerst,1Fam,7,5,Gd,136,2010,Gd,1,12.448626590364206
3095,19378,Gilbert,1Fam,7,0,Gd,371,2006,Gd,1,12.676076274775909
2408,11120,Veenker,1Fam,6,24,TA,0,2008,TA,0,11.998433280751929
4410,13688,NridgHt,1Fam,9,4,Gd,400,2008,Ex,2,12.929991484756872
3274,12182,NridgHt,1Fam,7,5,Gd,70,2010,Gd,1,12.301382825334498
882,5500,OldTown,1Fam,4,51,TA,0,2007,TA,0,11.544424132029599
2202,5400,OldTown,1Fam,6,3,TA,0,2007,Gd,0,11.931635799828413
1887,10106,Edwards,2fmCon,5,9,TA,140,2008,TA,0,11.755871643580617
3317,10708,ClearCr,1Fam,5,16,Gd,476,2009,TA,3,12.154779351142624
4238,10562,NridgHt,1Fam,8,0,Gd,298,2007,Ex,1,12.693498620467778
2160,8244,Gilbert,1Fam,7,3,Gd,148,2007,Gd,1,12.119969946476761
2218,16669,Timber,1Fam,8,25,Gd,638,2006,TA,1,12.337100907936577
1874,12358,OldTown,1Fam,5,57,TA,237,2007,TA,0,11.763684183317412
2823,31770,NAmes,1Fam,6,50,TA,272,2010,TA,2,12.2783933071098
2981,5306,StoneBr,Twnhs,7,19,Gd,476,2006,Gd,1,12.384218830913648
2528,10197,NAmes,1Fam,6,47,TA,20,2008,TA,1,12.0015054797889
3873,12416,Timber,1Fam,6,22,TA,192,2008,TA,1,12.122691036591123
3211,12615,Edwards,1Fam,6,6,TA,29,2007,Gd,1,12.400816722322686
3412,10029,ClearCr,1Fam,6,18,Gd,228,2007,TA,1,12.259613412458204
2869,13650,Sawyer,1Fam,5,48,Gd,0,2006,Gd,1,12.058152515453552
5304,17423,StoneBr,1Fam,9,0,Ex,60,2009,Ex,1,13.1260306447518
1448,8520,OldTown,1Fam,5,1,Gd,0,2007,TA,0,11.512925464970229
2401,2117,Somerst,Twnhs,6,7,Gd,0,2007,Gd,1,12.083905011555967
2370,7588,Crawfor,1Fam,7,56,TA,0,2006,TA,1,12.206572520571825
1592,9060,Edwards,1Fam,5,1,TA,116,2007,TA,1,11.695247021764184
2566,11426,OldTown,1Fam,7,5,TA,518,2008,Gd,0,12.206072645530174
1828,7438,BrkSide,1Fam,5,15,TA,104,2006,TA,0,11.751942365440728
3876,22950,OldTown,1Fam,10,13,Gd,260,2006,Ex,2,13.071070083016778
2325,9947,Mitchel,1Fam,7,18,TA,195,2009,Gd,0,12.061046873479915
1692,10410,OldTown,1Fam,5,22,TA,0,2009,TA,0,11.813030057420567
2838,7018,SawyerW,Duplex,5,30,TA,120,2009,TA,2,11.940393392554734
3428,4923,StoneBr,Twnhs,8,6,Gd,120,2008,Ex,1,12.56374708980199
3464,10570,Crawfor,1Fam,8,13,Gd,74,2007,Gd,2,12.66032791780777
2589,7472,NAmes,1Fam,7,3,TA,32,2007,Gd,0,12.122691036591123
2657,9017,CollgCr,1Fam,7,10,Gd,35,2009,Gd,0,12.165250651009918
2089,2522,Edwards,Twnhs,7,2,Gd,40,2006,Gd,0,11.77528972943772
1606,7180,CollgCr,1Fam,5,36,TA,0,2008,TA,0,11.751942365440728
2462,2280,NPkVill,Twnhs,6,33,TA,87,2009,TA,1,11.908340237224891
3638,9416,Somerst,1Fam,7,0,Ex,309,2007,Ex,1,12.650348126203179
4735,25419,NAmes,1Fam,8,16,Gd,16,2006,Gd,1,12.367340793126296
1858,5520,OldTown,1Fam,6,59,TA,198,2009,TA,0,11.55214617812351
3657,9591,NridgHt,1Fam,8,4,Gd,26,2009,Ex,1,12.524162674153336
1561,8546,Edwards,1Fam,4,6,TA,196,2010,TA,0,11.84939770159144
2672,10125,Mitchel,1Fam,6,31,TA,321,2008,TA,2,12.052338545588132
2325,7000,OldTown,1Fam,6,56,TA,0,2006,TA,0,11.626254150277232
1930,4438,CollgCr,Twnhs,6,4,Gd,149,2008,Gd,1,11.911701584927597
1836,3500,OldTown,1Fam,5,59,TA,35,2009,TA,0,11.608235644774552
1942,11851,Gilbert,1Fam,7,19,TA,34,2009,TA,0,12.103486056755072
2045,13673,Sawyer,1Fam,5,45,TA,30,2007,TA,1,11.876873892875459
2137,12493,NAmes,1Fam,4,48,TA,355,2008,TA,1,11.856515169360305
3581,14364,SawyerW,1Fam,7,18,Gd,115,2007,TA,1,12.531772785169476
2383,8250,NAmes,1Fam,6,44,TA,0,2008,TA,0,11.884489021402711
1332,5604,Edwards,1Fam,5,58,TA,0,2008,TA,0,11.49272275765271
1708,10420,Edwards,1Fam,6,1,TA,122,2010,Gd,0,12.133501952695338
3318,8640,Somerst,1Fam,7,0,TA,276,2009,Gd,1,12.439871229831715
2282,13568,CollgCr,1Fam,5,11,TA,224,2006,TA,0,11.957611286231675
2069,10900,CollgCr,1Fam,6,33,TA,36,2010,TA,0,11.993807212363148
2043,10011,NAmes,1Fam,5,10,TA,0,2006,Gd,1,11.80894766169701
2866,8450,CollgCr,1Fam,7,4,Gd,237,2008,Gd,0,12.254862809699606
1538,9906,OldTown,1Fam,4,56,TA,172,2006,TA,0,11.580584113444043
2726,15660,Crawfor,1Fam,7,2,Gd,119,2008,Gd,2,12.649154617209645
1702,3010,Blmngtn,Twnhs,7,0,Gd,108,2006,Gd,0,12.0271851854705
2173,8990,CollgCr,1Fam,7,0,Gd,384,2006,Gd,0,12.230277334226992
2657,8068,Gilbert,1Fam,6,7,Gd,166,2009,Gd,1,12.206072645530174
2536,11475,NWAmes,1Fam,6,31,TA,417,2006,TA,1,12.100156419938624
2144,10500,NAmes,1Fam,4,38,TA,216,2009,TA,0,11.48246625748552
3416,13472,NridgHt,1Fam,10,6,Ex,353,2009,Ex,1,12.864240107194092
1582,1680,BrDale,Twnhs,5,38,TA,0,2009,TA,0,11.626254150277232
3806,9950,NoRidge,1Fam,7,12,Gd,338,2007,Gd,1,12.577636201962656
1588,1869,BrDale,Twnhs,6,38,TA,0,2008,TA,0,11.571194373094205
2090,8521,Sawyer,1Fam,5,43,TA,0,2010,TA,1,11.736069016284437
2001,3182,Blmngtn,Twnhs,7,3,Gd,163,2009,Gd,1,12.167851432709975
1506,8760,NAmes,1Fam,6,51,TA,0,2010,TA,0,11.904967552746252
4293,15138,NoRidge,1Fam,8,13,Gd,146,2009,Ex,1,12.90669184092882
1275,1680,BrDale,Twnhs,6,34,TA,0,2006,TA,1,11.456355113481834
2096,10650,CollgCr,1Fam,5,34,TA,365,2010,TA,0,11.761346823468706
3025,7851,Gilbert,1Fam,6,8,Gd,336,2010,Gd,2,12.285345826424681
1609,1680,BrDale,Twnhs,6,37,TA,0,2008,TA,0,11.401993904262946
1932,8773,CollgCr,1Fam,7,6,Gd,237,2010,Gd,0,12.130810161029627
2603,9453,SawyerW,1Fam,7,7,Gd,440,2010,Gd,0,12.178187442040638
2512,12030,NridgHt,1Fam,8,0,Ex,396,2007,Gd,0,12.669806661762314
1801,8741,Edwards,1Fam,6,60,TA,140,2010,TA,1,11.635143097694478
3394,9000,Somerst,1Fam,8,2,Gd,312,2010,Gd,0,12.478006361013815
1195,3880,OldTown,1Fam,5,10,TA,100,2007,Gd,0,11.612770799939945
1792,5000,OldTown,1Fam,5,56,TA,0,2006,TA,0,11.27720313144916
1505,10762,SawyerW,Twnhs,6,29,TA,28,2009,TA,1,11.695247021764184
3268,8880,SawyerW,1Fam,7,8,Gd,130,2010,Gd,2,12.230765258120545
3405,10400,NWAmes,1Fam,7,18,TA,236,2006,TA,1,12.394624752074764
2368,9142,OldTown,2fmCon,6,56,TA,60,2006,Fa,0,11.827736204810263
1826,11310,NAmes,1Fam,6,52,TA,30,2006,TA,1,11.84939770159144
2168,11317,CollgCr,1Fam,7,4,Gd,212,2007,Gd,0,12.100712129872347
3230,159000,ClearCr,1Fam,6,1,Gd,98,2007,Gd,2,12.531772785169476
1306,5350,BrkSide,1Fam,3,44,TA,263,2010,Fa,0,11.245046019814627
3736,4750,Crawfor,Twnhs,8,0,Gd,123,2007,Gd,1,12.367340793126296
2160,8366,SawyerW,1Fam,6,4,Gd,183,2008,Gd,0,12.061046873479915
2461,9350,NAmes,1Fam,6,16,TA,333,2007,Gd,0,11.970350312009105
2530,8400,NAmes,1Fam,5,53,TA,250,2010,TA,0,11.884489021402711
2720,8738,Gilbert,1Fam,7,7,Gd,192,2006,Gd,1,12.345834587905333
2904,8791,Somerst,1Fam,6,5,Gd,272,2008,Gd,0,12.24288661865289
3598,8814,CollgCr,1Fam,7,3,Gd,233,2009,Gd,1,12.301382825334498
2717,12435,CollgCr,1Fam,7,7,Gd,96,2008,Gd,1,12.352335152508426
1190,12702,OldTown,1Fam,5,52,TA,45,2008,TA,0,11.48246625748552
3628,19296,NAmes,1Fam,6,47,TA,0,2009,TA,1,12.078239274020289
3442,9588,CollgCr,1Fam,8,0,Gd,148,2007,Ex,1,12.528156144699286
2210,8471,Sawyer,1Fam,6,11,TA,304,2006,TA,1,11.925035115797062
2336,5500,OldTown,1Fam,5,9,TA,0,2010,TA,0,11.77528972943772
1268,5232,OldTown,1Fam,5,4,TA,0,2008,TA,0,11.198214720130528
2814,12090,NWAmes,1Fam,6,27,TA,276,2008,Gd,1,12.075394321888057
2638,11207,Gilbert,1Fam,6,9,TA,170,2006,TA,1,12.128111104060462
2390,8400,SWISU,1Fam,5,11,TA,286,2008,Gd,1,12.097930486910471
2230,6900,IDOTRR,1Fam,5,53,TA,25,2008,TA,1,11.699405031912846
2368,7917,Edwards,1Fam,6,31,TA,400,2007,TA,1,11.904967552746252
2992,10728,Somerst,1Fam,8,0,Gd,243,2006,Gd,1,12.491251587763836
3091,39104,ClearCr,1Fam,7,3,TA,81,2008,TA,2,12.394624752074764
3465,11764,NoRidge,1Fam,8,3,Gd,189,2010,Gd,1,12.577636201962656
3210,9600,NAmes,1Fam,6,21,TA,289,2009,TA,1,11.842229212112828
1626,8314,Mitchel,1Fam,5,25,TA,168,2007,TA,0,11.732060994886899
2220,7264,BrkSide,1Fam,7,2,Gd,74,2009,Ex,0,12.230765258120545
2133,9196,Mitchel,1Fam,7,7,Gd,250,2010,Gd,0,12.211060187041213
1384,19138,Gilbert,1Fam,4,59,TA,0,2010,TA,0,11.856515169360305
2853,14450,NridgHt,1Fam,9,0,Ex,222,2007,Ex,1,12.936751613811438
2919,10005,ClearCr,1Fam,7,31,TA,405,2008,TA,1,12.165250651009918
2978,11287,SawyerW,1Fam,7,18,Gd,84,2007,Gd,1,12.339291489316397
2739,7200,Somerst,1Fam,6,0,Gd,120,2006,Gd,0,12.128111104060462
2844,5063,NridgHt,Twnhs,7,1,Gd,234,2009,Gd,1,12.24288661865289
2366,9612,Somerst,1Fam,8,0,Gd,360,2009,Gd,1,12.407379502235209
2534,8012,SawyerW,Twnhs,6,15,Gd,0,2007,Gd,0,12.096257779522967
1778,4251,Somerst,Twnhs,7,0,Gd,54,2007,Gd,0,12.011880916165731
2774,9786,NAmes,1Fam,6,25,TA,0,2006,Gd,1,11.976659481202368
1472,8125,NAmes,1Fam,4,35,TA,0,2006,TA,0,11.385092093460344
1630,9819,Sawyer,1Fam,5,43,TA,0,2010,TA,0,11.711776323715394
1780,8730,BrkSide,1Fam,6,4,TA,0,2007,TA,0,11.941944326032129
2604,15611,CollgCr,1Fam,8,0,Gd,51,2006,Gd,1,12.359780370124389
1926,5687,SWISU,2fmCon,5,8,TA,184,2008,Fa,0,11.819674600139235
2289,11409,Edwards,1Fam,5,1,TA,0,2009,TA,1,11.782952602183288
3597,16659,NWAmes,1Fam,7,12,TA,250,2006,Gd,1,12.367340793126296
3347,9600,NAmes,1Fam,6,56,TA,110,2009,TA,2,12.025749091398891
2410,7937,Mitchel,1Fam,6,22,TA,120,2006,TA,0,11.867097278690842
2260,13710,IDOTRR,1Fam,5,57,TA,289,2007,TA,0,11.931635799828413
3175,7399,Somerst,1Fam,7,9,Gd,10,2007,Gd,1,12.384218830913648
2841,11700,NWAmes,1Fam,6,39,Gd,224,2007,TA,1,12.072541252905651
1452,14000,Crawfor,1Fam,6,5,TA,36,2009,Gd,1,11.973509872299472
2552,15750,Crawfor,2fmCon,5,53,TA,0,2006,TA,2,11.964001084330445
3416,16226,CollgCr,1Fam,8,8,Gd,258,2007,Gd,1,12.495003937382387
2384,13704,CollgCr,1Fam,7,4,Gd,549,2006,Gd,1,12.230765258120545
2340,9800,CollgCr,1Fam,5,34,TA,256,2006,TA,0,11.917723684090689
4363,18386,OldTown,1Fam,7,6,TA,302,2008,Gd,1,12.594730635321957
4352,10386,CollgCr,1Fam,8,2,Gd,168,2007,Gd,0,12.631013530138995
3689,13474,SawyerW,1Fam,7,16,Gd,171,2007,Gd,1,12.323855681186558
1406,7920,IDOTRR,1Fam,6,58,TA,144,2008,Fa,0,11.401993904262946
1662,12342,Edwards,1Fam,4,59,TA,158,2009,TA,0,11.320553572322773
3926,12378,NridgHt,1Fam,9,2,Gd,383,2006,Ex,3,12.793859310432293
2439,7685,Gilbert,1Fam,6,12,TA,253,2006,Gd,1,12.017330520933296
1892,8000,NAmes,1Fam,6,7,TA,0,2009,TA,1,11.790557201568507
2035,7800,OldTown,2fmCon,5,56,TA,0,2006,TA,1,11.694413341015606
4605,215245,Timber,1Fam,7,44,TA,0,2009,TA,2,12.834681304952548
2203,9600,OldTown,1Fam,7,16,TA,0,2006,Ex,1,12.089538829274222
2289,7795,Gilbert,1Fam,7,4,Gd,151,2009,Gd,1,12.146853285870202
3529,13005,NWAmes,1Fam,7,29,Gd,483,2009,Ex,1,12.468436909997665
2984,9000,Somerst,1Fam,8,1,Gd,254,2007,Gd,1,12.506177237980511
4289,9900,NoRidge,1Fam,7,16,Gd,400,2009,Gd,1,12.468436909997665
3096,14115,NWAmes,1Fam,7,29,TA,281,2009,TA,2,12.141534124392603
3436,16259,NridgHt,1Fam,9,0,TA,394,2006,Gd,0,12.7444443677961
4310,12099,NridgHt,1Fam,8,3,Gd,338,2007,Gd,1,12.777052192115912
4808,10380,SawyerW,1Fam,7,20,Gd,297,2007,Gd,1,12.614865543731012
1639,5820,OldTown,1Fam,3,1,TA,240,2006,TA,0,11.745425111208464
