Total_size,LotArea,Neighborhood,OverallQual,Age_at_sale,YrSold,log_sales
1399,7200,IDOTRR,5,11,2007,11.522875795823397
1878,6442,NridgHt,8,1,2007,12.218495165528731
2190,10300,OldTown,7,60,2010,11.84939770159144
3418,9375,CollgCr,7,11,2009,12.299107511497363
3325,9591,NridgHt,8,2,2007,12.666657052859417
3695,19900,NAmes,7,21,2010,12.100712129872347
3050,10665,CollgCr,7,4,2007,12.328290278254423
967,4608,OldTown,4,60,2010,11.289781913656018
3557,15593,ClearCr,7,53,2006,12.323855681186558
4619,13651,NAmes,7,34,2007,12.404923504275338
1770,7599,Mitchel,4,1,2007,11.771436160121729
2145,10141,Gilbert,7,11,2009,12.128111104060462
2258,10200,NAmes,5,7,2010,11.883799128308773
1984,5790,OldTown,3,60,2010,11.584315461056901
1747,1596,MeadowV,4,36,2009,11.418614785498987
1463,8475,NAmes,4,52,2008,11.818570237796182
1902,8635,BrkSide,5,7,2008,11.751942365440728
1768,10778,Sawyer,4,42,2010,11.824079893607152
1670,10440,OldTown,5,28,2009,11.608235644774552
3099,13000,NAmes,6,41,2009,12.173032791451973
2943,4500,Mitchel,6,8,2006,11.941455846009388
2354,10206,Somerst,8,1,2008,12.409013489526863
1526,8892,NAmes,5,47,2007,11.747997587149712
1874,8530,Gilbert,7,13,2009,12.034691028774553
2879,16059,NoRidge,8,14,2006,12.468436909997665
1960,11911,Gilbert,6,4,2009,12.066810578196666
1752,3951,Somerst,6,0,2009,12.010665849187564
1013,8470,IDOTRR,3,27,2009,11.350406535472453
1578,8070,CollgCr,4,12,2007,11.724805824005728
1460,7200,NAmes,4,56,2006,11.607326140391713
2315,8500,NAmes,5,45,2006,11.498826540590727
2109,13360,Crawfor,5,3,2009,12.004568269319446
3843,7200,OldTown,6,9,2007,11.804848531679264
3118,9337,CollgCr,6,10,2007,12.229545001715316
2200,9765,Gilbert,6,16,2009,12.128111104060462
3222,10264,CollgCr,7,7,2006,12.273731294003989
1912,10921,Edwards,4,42,2007,11.458997122944673
1309,10625,Edwards,5,60,2010,11.326595886778735
1794,9320,NAmes,4,51,2010,11.76718001130949
3290,10603,NWAmes,6,9,2010,12.230765258120545
2208,9206,SawyerW,6,25,2010,12.089538829274222
1945,7018,SawyerW,5,30,2009,11.686576205316552
1966,10402,CollgCr,7,1,2010,12.200557464842063
2282,7758,IDOTRR,7,57,2007,12.040608205802641
2640,9375,Somerst,8,4,2008,12.429216196844383
1320,10800,OldTown,4,12,2007,11.512925464970229
1312,6000,OldTown,5,58,2008,11.652687407345388
1517,8500,IDOTRR,5,2,2007,11.652687407345388
3095,11751,NWAmes,6,33,2010,12.154779351142624
2624,9525,Edwards,6,34,2006,11.82700601127654
2080,7750,Gilbert,7,10,2010,12.100712129872347
4472,9965,CollgCr,7,0,2007,12.858319703517948
3613,21000,Crawfor,6,54,2007,12.287652632522597
3424,7259,Crawfor,6,5,2007,12.46651198158808
2317,3230,Somerst,6,8,2007,12.078239274020289
2220,11616,Sawyer,5,47,2009,11.842229212112828
1555,8536,Edwards,5,0,2007,11.951180395901384
5286,12376,SawyerW,7,20,2010,12.676076274775909
1846,8461,CollgCr,6,0,2006,12.007560729337492
2466,21453,ClearCr,6,37,2006,12.100712129872347
1387,6060,IDOTRR,4,57,2007,11.512925464970229
1938,9464,NAmes,6,50,2008,11.820410164718188
2029,7892,SawyerW,6,15,2008,11.94405831982697
2021,17043,NWAmes,6,11,2009,12.106252310247962
1010,6780,IDOTRR,6,24,2006,11.344506813345266
1518,4928,NPkVill,6,31,2007,11.759785542901755
956,4388,OldTown,5,57,2007,11.37366339763672
2313,7590,NAmes,6,40,2006,11.951180395901384
2398,8973,NAmes,5,15,2006,11.918390573078392
3089,14200,NAmes,7,40,2006,12.328290278254423
3139,12224,Gilbert,6,9,2009,12.404923504275338
2356,7388,NAmes,5,5,2007,11.923378114589433
2772,6853,Timber,8,7,2009,12.301382825334498
2731,10335,Sawyer,5,13,2006,12.100712129872347
2212,10400,NWAmes,7,38,2008,12.066810578196666
2227,10355,NAmes,5,40,2007,11.870599909242044
2725,11070,Mitchel,7,17,2006,12.049418835484797
3180,9066,CollgCr,8,8,2008,12.345834587905333
3055,15426,CollgCr,6,12,2009,12.352335152508426
1296,10500,NAmes,4,39,2010,11.652687407345388
3694,11645,CollgCr,7,1,2006,12.468436909997665
2612,8520,NAmes,5,58,2010,12.01974306733868
2757,10335,CollgCr,7,10,2009,12.225875272826354
3564,9100,Sawyer,5,43,2006,11.736069016284437
2089,2522,Edwards,6,0,2006,11.77528972943772
1264,6120,BrkSide,5,16,2009,11.56171562913966
2469,9505,Gilbert,7,9,2010,12.312682380588432
1760,7500,SawyerW,7,3,2008,11.856515169360305
1584,6240,BrkSide,5,56,2006,11.652687407345388
2125,10356,CollgCr,5,32,2007,11.711776323715394
3976,13891,NridgHt,8,0,2008,12.827729194939907
2904,14803,NWAmes,6,35,2006,12.154779351142624
3325,13500,ClearCr,6,33,2008,12.367340793126296
1512,11340,OldTown,6,56,2006,11.736069016284437
1096,9600,Edwards,6,58,2008,11.27720313144916
1665,7200,NAmes,5,56,2006,11.603679828238693
2648,12003,Timber,8,0,2010,12.504323669331189
2847,12552,Somerst,7,5,2010,12.448626590364206
3095,19378,Gilbert,7,0,2006,12.676076274775909
2408,11120,Veenker,6,24,2008,11.998433280751929
4410,13688,NridgHt,9,4,2008,12.929991484756872
3274,12182,NridgHt,7,5,2010,12.301382825334498
882,5500,OldTown,4,51,2007,11.544424132029599
2202,5400,OldTown,6,3,2007,11.931635799828413
1887,10106,Edwards,5,9,2008,11.755871643580617
3317,10708,ClearCr,5,16,2009,12.154779351142624
4238,10562,NridgHt,8,0,2007,12.693498620467778
2160,8244,Gilbert,7,3,2007,12.119969946476761
2218,16669,Timber,8,25,2006,12.337100907936577
1874,12358,OldTown,5,57,2007,11.763684183317412
2823,31770,NAmes,6,50,2010,12.2783933071098
2981,5306,StoneBr,7,19,2006,12.384218830913648
2528,10197,NAmes,6,47,2008,12.0015054797889
3873,12416,Timber,6,22,2008,12.122691036591123
3211,12615,Edwards,6,6,2007,12.400816722322686
3412,10029,ClearCr,6,18,2007,12.259613412458204
2869,13650,Sawyer,5,48,2006,12.058152515453552
5304,17423,StoneBr,9,0,2009,13.1260306447518
1448,8520,OldTown,5,1,2007,11.512925464970229
2401,2117,Somerst,6,7,2007,12.083905011555967
2370,7588,Crawfor,7,56,2006,12.206572520571825
1592,9060,Edwards,5,1,2007,11.695247021764184
2566,11426,OldTown,7,5,2008,12.206072645530174
1828,7438,BrkSide,5,15,2006,11.751942365440728
3876,22950,OldTown,10,13,2006,13.071070083016778
2325,9947,Mitchel,7,18,2009,12.061046873479915
1692,10410,OldTown,5,22,2009,11.813030057420567
2838,7018,SawyerW,5,30,2009,11.940393392554734
3428,4923,StoneBr,8,6,2008,12.56374708980199
3464,10570,Crawfor,8,13,2007,12.66032791780777
2589,7472,NAmes,7,3,2007,12.122691036591123
2657,9017,CollgCr,7,10,2009,12.165250651009918
2089,2522,Edwards,7,2,2006,11.77528972943772
1606,7180,CollgCr,5,36,2008,11.751942365440728
2462,2280,NPkVill,6,33,2009,11.908340237224891
3638,9416,Somerst,7,0,2007,12.650348126203179
4735,25419,NAmes,8,16,2006,12.367340793126296
1858,5520,OldTown,6,59,2009,11.55214617812351
3657,9591,NridgHt,8,4,2009,12.524162674153336
1561,8546,Edwards,4,6,2010,11.84939770159144
2672,10125,Mitchel,6,31,2008,12.052338545588132
2325,7000,OldTown,6,56,2006,11.626254150277232
1930,4438,CollgCr,6,4,2008,11.911701584927597
1836,3500,OldTown,5,59,2009,11.608235644774552
1942,11851,Gilbert,7,19,2009,12.103486056755072
2045,13673,Sawyer,5,45,2007,11.876873892875459
2137,12493,NAmes,4,48,2008,11.856515169360305
3581,14364,SawyerW,7,18,2007,12.531772785169476
2383,8250,NAmes,6,44,2008,11.884489021402711
1332,5604,Edwards,5,58,2008,11.49272275765271
1708,10420,Edwards,6,1,2010,12.133501952695338
3318,8640,Somerst,7,0,2009,12.439871229831715
2282,13568,CollgCr,5,11,2006,11.957611286231675
2069,10900,CollgCr,6,33,2010,11.993807212363148
2043,10011,NAmes,5,10,2006,11.80894766169701
2866,8450,CollgCr,7,4,2008,12.254862809699606
1538,9906,OldTown,4,56,2006,11.580584113444043
2726,15660,Crawfor,7,2,2008,12.649154617209645
1702,3010,Blmngtn,7,0,2006,12.0271851854705
2173,8990,CollgCr,7,0,2006,12.230277334226992
2657,8068,Gilbert,6,7,2009,12.206072645530174
2536,11475,NWAmes,6,31,2006,12.100156419938624
2144,10500,NAmes,4,38,2009,11.48246625748552
3416,13472,NridgHt,10,6,2009,12.864240107194092
1582,1680,BrDale,5,38,2009,11.626254150277232
3806,9950,NoRidge,7,12,2007,12.577636201962656
1588,1869,BrDale,6,38,2008,11.571194373094205
2090,8521,Sawyer,5,43,2010,11.736069016284437
2001,3182,Blmngtn,7,3,2009,12.167851432709975
1506,8760,NAmes,6,51,2010,11.904967552746252
4293,15138,NoRidge,8,13,2009,12.90669184092882
1275,1680,BrDale,6,34,2006,11.456355113481834
2096,10650,CollgCr,5,34,2010,11.761346823468706
3025,7851,Gilbert,6,8,2010,12.285345826424681
1609,1680,BrDale,6,37,2008,11.401993904262946
1932,8773,CollgCr,7,6,2010,12.130810161029627
2603,9453,SawyerW,7,7,2010,12.178187442040638
2512,12030,NridgHt,8,0,2007,12.669806661762314
1801,8741,Edwards,6,60,2010,11.635143097694478
3394,9000,Somerst,8,2,2010,12.478006361013815
1195,3880,OldTown,5,10,2007,11.612770799939945
1792,5000,OldTown,5,56,2006,11.27720313144916
1505,10762,SawyerW,6,29,2009,11.695247021764184
3268,8880,SawyerW,7,8,2010,12.230765258120545
3405,10400,NWAmes,7,18,2006,12.394624752074764
2368,9142,OldTown,6,56,2006,11.827736204810263
1826,11310,NAmes,6,52,2006,11.84939770159144
2168,11317,CollgCr,7,4,2007,12.100712129872347
3230,159000,ClearCr,6,1,2007,12.531772785169476
1306,5350,BrkSide,3,44,2010,11.245046019814627
3736,4750,Crawfor,8,0,2007,12.367340793126296
2160,8366,SawyerW,6,4,2008,12.061046873479915
2461,9350,NAmes,6,16,2007,11.970350312009105
2530,8400,NAmes,5,53,2010,11.884489021402711
2720,8738,Gilbert,7,7,2006,12.345834587905333
2904,8791,Somerst,6,5,2008,12.24288661865289
3598,8814,CollgCr,7,3,2009,12.301382825334498
2717,12435,CollgCr,7,7,2008,12.352335152508426
1190,12702,OldTown,5,52,2008,11.48246625748552
3628,19296,NAmes,6,47,2009,12.078239274020289
3442,9588,CollgCr,8,0,2007,12.528156144699286
2210,8471,Sawyer,6,11,2006,11.925035115797062
2336,5500,OldTown,5,9,2010,11.77528972943772
1268,5232,OldTown,5,4,2008,11.198214720130528
2814,12090,NWAmes,6,27,2008,12.075394321888057
2638,11207,Gilbert,6,9,2006,12.128111104060462
2390,8400,SWISU,5,11,2008,12.097930486910471
2230,6900,IDOTRR,5,53,2008,11.699405031912846
2368,7917,Edwards,6,31,2007,11.904967552746252
2992,10728,Somerst,8,0,2006,12.491251587763836
3091,39104,ClearCr,7,3,2008,12.394624752074764
3465,11764,NoRidge,8,3,2010,12.577636201962656
3210,9600,NAmes,6,21,2009,11.842229212112828
1626,8314,Mitchel,5,25,2007,11.732060994886899
2220,7264,BrkSide,7,2,2009,12.230765258120545
2133,9196,Mitchel,7,7,2010,12.211060187041213
1384,19138,Gilbert,4,59,2010,11.856515169360305
2853,14450,NridgHt,9,0,2007,12.936751613811438
2919,10005,ClearCr,7,31,2008,12.165250651009918
2978,11287,SawyerW,7,18,2007,12.339291489316397
2739,7200,Somerst,6,0,2006,12.128111104060462
2844,5063,NridgHt,7,1,2009,12.24288661865289
2366,9612,Somerst,8,0,2009,12.407379502235209
2534,8012,SawyerW,6,15,2007,12.096257779522967
1778,4251,Somerst,7,0,2007,12.011880916165731
2774,9786,NAmes,6,25,2006,11.976659481202368
1472,8125,NAmes,4,35,2006,11.385092093460344
1630,9819,Sawyer,5,43,2010,11.711776323715394
1780,8730,BrkSide,6,4,2007,11.941944326032129
2604,15611,CollgCr,8,0,2006,12.359780370124389
1926,5687,SWISU,5,8,2008,11.819674600139235
2289,11409,Edwards,5,1,2009,11.782952602183288
3597,16659,NWAmes,7,12,2006,12.367340793126296
3347,9600,NAmes,6,56,2009,12.025749091398891
2410,7937,Mitchel,6,22,2006,11.867097278690842
2260,13710,IDOTRR,5,57,2007,11.931635799828413
3175,7399,Somerst,7,9,2007,12.384218830913648
2841,11700,NWAmes,6,39,2007,12.072541252905651
1452,14000,Crawfor,6,5,2009,11.973509872299472
2552,15750,Crawfor,5,53,2006,11.964001084330445
3416,16226,CollgCr,8,8,2007,12.495003937382387
2384,13704,CollgCr,7,4,2006,12.230765258120545
2340,9800,CollgCr,5,34,2006,11.917723684090689
4363,18386,OldTown,7,6,2008,12.594730635321957
4352,10386,CollgCr,8,2,2007,12.631013530138995
3689,13474,SawyerW,7,16,2007,12.323855681186558
1406,7920,IDOTRR,6,58,2008,11.401993904262946
1662,12342,Edwards,4,59,2009,11.320553572322773
3926,12378,NridgHt,9,2,2006,12.793859310432293
2439,7685,Gilbert,6,12,2006,12.017330520933296
1892,8000,NAmes,6,7,2009,11.790557201568507
2035,7800,OldTown,5,56,2006,11.694413341015606
4605,215245,Timber,7,44,2009,12.834681304952548
2203,9600,OldTown,7,16,2006,12.089538829274222
2289,7795,Gilbert,7,4,2009,12.146853285870202
3529,13005,NWAmes,7,29,2009,12.468436909997665
2984,9000,Somerst,8,1,2007,12.506177237980511
4289,9900,NoRidge,7,16,2009,12.468436909997665
3096,14115,NWAmes,7,29,2009,12.141534124392603
3436,16259,NridgHt,9,0,2006,12.7444443677961
4310,12099,NridgHt,8,3,2007,12.777052192115912
4808,10380,SawyerW,7,20,2007,12.614865543731012
1639,5820,OldTown,3,1,2006,11.745425111208464
3542,11275,NAmes,7,3,2010,12.396693005138824
1279,5000,IDOTRR,5,57,2007,11.37366339763672
3811,10846,Veenker,8,15,2008,12.688498794774466
2240,11600,NAmes,6,46,2006,11.886211674714158
2575,11888,BrkSide,6,15,2009,12.27606501735021
1381,6402,IDOTRR,5,59,2009,11.26446410567173
2384,10624,NAmes,5,43,2007,11.686878772093667
2210,8176,NAmes,5,15,2007,11.842229212112828
4112,10655,NridgHt,8,5,2009,12.556729517143344
2562,8198,NridgHt,7,4,2008,12.240474072247506
2938,9042,Gilbert,6,10,2008,12.165250651009918
3711,164660,Timber,5,43,2008,12.341258918085241
3847,14157,StoneBr,9,1,2007,12.841129801965447
2878,9135,CollgCr,7,5,2008,12.273731294003989
2274,14145,NWAmes,7,8,2006,12.218495165528731
2097,12400,NAmes,6,11,2009,11.951180395901384
2339,14191,Timber,8,8,2010,12.220468525813907
1135,8400,SawyerW,4,59,2009,11.314474526246391
1440,8544,NAmes,3,56,2006,11.379394072345706
2276,8849,NridgHt,9,3,2008,12.491251587763836
1809,2592,MeadowV,5,34,2010,11.350406535472453
1889,6435,BrkSide,6,56,2006,11.850825253582627
1757,12772,NAmes,6,9,2007,11.928340903931561
3246,17600,NAmes,6,49,2009,11.967180737247824
2673,2448,NridgHt,7,4,2008,11.944707881395766
4844,20431,NridgHt,9,0,2006,12.988040814744458
2486,7820,NridgHt,9,0,2007,12.669998467265833
2980,5271,ClearCr,7,20,2006,12.154779351142624
1927,9084,Edwards,5,58,2008,11.461632170582678
1204,8520,OldTown,6,7,2010,11.570250531589497
2223,8400,SWISU,6,6,2006,11.84939770159144
2599,11249,CollgCr,6,12,2007,12.086725887897607
2127,9248,Gilbert,6,17,2009,12.061046873479915
2544,4224,MeadowV,5,31,2007,11.805595078933049
2234,6930,ClearCr,5,48,2006,11.77528972943772
3472,12011,NoRidge,8,8,2006,12.542544882151386
2155,7540,Mitchel,6,29,2007,11.957611286231675
2144,9144,BrkSide,5,26,2008,11.884489021402711
2594,7301,Edwards,7,6,2009,12.198544379109382
1413,1680,BrDale,6,2,2009,11.678439903447801
2852,18800,NWAmes,6,30,2006,12.154779351142624
2268,10690,IDOTRR,5,12,2009,11.898187865760873
2517,9500,NAmes,6,46,2009,11.976659481202368
2098,9150,NAmes,6,46,2008,12.013700752882718
2052,7800,NAmes,5,56,2010,11.790557201568507
2193,9830,NAmes,5,4,2010,11.99535161421452
2124,8121,Gilbert,6,6,2006,12.05757263721173
2268,17120,ClearCr,4,49,2008,11.808813773969108
1760,7175,SawyerW,6,26,2010,11.736069016284437
2197,10634,NAmes,5,56,2009,11.719939634354555
2362,8200,CollgCr,7,3,2007,12.299107511497363
1254,10020,Edwards,1,59,2009,11.018629143155449
1788,8846,CollgCr,5,10,2006,11.904967552746252
3076,11143,Somerst,8,2,2007,12.736700896592344
4135,11394,StoneBr,9,0,2010,12.885202034321916
2263,8123,Gilbert,6,9,2009,12.095141084822892
2217,5000,SWISU,5,60,2010,11.751942365440728
1873,7200,Somerst,7,0,2006,12.142866569626381
2436,9245,CollgCr,7,1,2007,12.271392111650817
1144,9000,SawyerW,6,59,2009,11.238488619268468
3439,53107,ClearCr,6,15,2007,12.388394202324129
1723,3182,Blmngtn,8,5,2010,12.165250651009918
1184,8410,Edwards,5,10,2006,11.302204433654575
2108,7200,Edwards,6,33,2009,11.736069016284437
2056,9382,CollgCr,7,8,2008,12.160028707028767
4458,12474,NridgHt,10,0,2008,12.962194625251508
2383,8405,Edwards,5,58,2008,11.686878772093667
3211,12209,Mitchel,6,7,2009,12.2783933071098
1176,8339,NAmes,5,48,2007,11.575900264131617
1054,7446,BrkSide,4,56,2006,11.512925464970229
1274,10134,OldTown,5,57,2007,11.59910316121128
2479,9571,Edwards,5,54,2010,11.76756768334381
2271,7200,CollgCr,5,37,2009,11.719939634354555
2616,7590,NAmes,5,45,2007,12.040608205802641
1415,8967,IDOTRR,5,57,2007,11.112447898373103
2800,8125,Somerst,7,2,2009,12.392552212472792
2574,14963,Veenker,8,12,2008,12.411052226216713
1734,8767,CollgCr,7,1,2006,12.01364014498549
912,10200,Sawyer,5,11,2008,11.589886506106357
2683,12090,NoRidge,8,8,2006,12.460714863903755
1945,10364,Gilbert,6,11,2007,12.031719258385396
3226,9991,Sawyer,4,16,2009,11.918390573078392
1406,10480,SWISU,6,58,2008,11.652687407345388
1988,15576,Crawfor,6,32,2008,12.083905011555967
3119,14154,NridgHt,7,1,2007,12.542544882151386
3703,10800,Somerst,8,0,2008,12.73596533201339
1626,9571,Edwards,5,51,2009,11.002099841204238
2684,34650,Gilbert,5,51,2006,11.884489021402711
2540,4403,Somerst,7,1,2010,12.310432660854417
1388,8960,OldTown,5,60,2010,11.652687407345388
3356,11228,SawyerW,7,15,2008,12.337100907936577
1760,8899,Gilbert,7,0,2007,12.106992367829498
2049,7844,Sawyer,6,28,2006,11.915051671812877
4616,22420,Crawfor,6,57,2007,12.384218830913648
1686,8160,Edwards,5,57,2007,11.744037185933616
2135,8450,NAmes,5,42,2010,11.863582336583399
3437,7060,Mitchel,7,10,2008,12.237086699059343
3377,16635,NWAmes,6,9,2009,12.2783933071098
1508,21750,Mitchel,5,54,2008,11.635143097694478
4312,9200,NoRidge,8,10,2008,12.66032791780777
2109,9000,NAmes,6,52,2008,11.842229212112828
1629,3378,OldTown,7,17,2009,11.813030057420567
3731,12800,SawyerW,7,20,2009,12.524526376648708
1547,8593,NAmes,4,51,2008,11.59917655301345
2500,6762,CollgCr,7,0,2007,12.182804018590819
2993,11457,Timber,6,21,2009,12.072541252905651
1638,1680,BrDale,6,37,2008,11.355101379776661
1198,5586,OldTown,6,10,2008,11.288531131754366
2276,1920,BrDale,5,36,2007,11.715866308966918
2074,10839,Gilbert,6,10,2008,12.106252310247962
1125,1890,MeadowV,4,36,2008,11.302204433654575
2940,10667,CollgCr,7,13,2009,12.26434155365415
1558,4400,OldTown,6,56,2006,11.661345470088502
1084,6000,BrkSide,6,5,2009,11.686878772093667
1411,4280,Crawfor,5,5,2007,11.411446296020374
1724,12354,Edwards,6,9,2009,11.608235644774552
5380,15431,NridgHt,10,1,2009,13.226723392728571
1573,12108,Edwards,4,53,2008,11.678439903447801
1933,6240,BrkSide,5,16,2008,12.000891794590137
1906,3922,Blmngtn,7,0,2007,12.058152515453552
3043,8750,CollgCr,7,13,2008,12.254862809699606
2169,9855,Edwards,6,53,2009,11.755871643580617
3426,16492,NAmes,6,8,2010,12.154779351142624
2317,11214,Gilbert,7,7,2006,12.205572520488492
1574,8600,IDOTRR,6,56,2006,11.691071650353702
1822,6000,OldTown,3,5,2007,11.695247021764184
1083,5684,OldTown,6,1,2006,11.608235644774552
2764,70761,ClearCr,7,31,2006,12.542544882151386
2920,9303,Timber,6,10,2007,12.225875272826354
2266,9000,Somerst,8,1,2009,12.254862809699606
3894,9297,Mitchel,5,30,2006,12.144197241812087
2686,9600,NWAmes,7,34,2007,12.075394321888057
1857,4571,OldTown,5,58,2008,11.49272275765271
3308,53227,ClearCr,4,14,2008,12.4529327234617
1894,5100,OldTown,8,12,2008,11.9891596439666
1740,7015,BrkSide,5,59,2009,11.608235644774552
3031,8004,Somerst,8,0,2009,12.481561937216318
2271,7200,SWISU,7,2,2009,11.951180395901384
2088,8281,Sawyer,5,44,2009,11.041048081342682
2226,11988,Crawfor,6,13,2008,12.147913731356642
1656,8430,CollgCr,5,31,2009,11.728036844587175
1812,3072,Blmngtn,7,2,2006,12.093687514935382
2581,10628,NAmes,7,37,2007,12.025749091398891
2342,9480,NAmes,5,12,2007,11.894780707439258
2500,11428,NridgHt,8,1,2007,12.429216196844383
2642,9291,SawyerW,6,15,2008,12.138863895836725
3518,6820,StoneBr,8,25,2010,12.26434155365415
2503,11952,NWAmes,7,30,2007,12.154779351142624
2056,3675,Edwards,6,3,2008,11.904967552746252
4234,14977,NridgHt,8,0,2007,12.994530005894443
3347,5330,StoneBr,8,7,2007,12.43320821811392
2224,8480,Sawyer,5,44,2007,11.794337924408413
2995,13125,CollgCr,6,10,2008,12.249610947544657
3337,13693,NridgHt,9,1,2007,12.84792653170257
3832,10637,CollgCr,8,1,2009,12.601487417784837
1971,5925,OldTown,4,7,2007,11.401669829409995
3883,16033,NridgHt,9,1,2006,12.694652660348845
4233,11846,NridgHt,9,2,2006,12.832011076396668
2289,2500,OldTown,7,4,2009,11.951180395901384
2515,4500,Mitchel,6,8,2006,12.007621706806335
1851,7758,Sawyer,5,6,2007,11.794337924408413
1984,9600,NAmes,5,2,2009,11.898187865760873
2424,10289,NAmes,5,42,2007,11.957611286231675
2969,12243,NWAmes,5,36,2007,12.072541252905651
3598,10800,OldTown,5,36,2006,11.982929094215963
1431,1526,MeadowV,4,7,2009,11.362102575235644
1640,2665,MeadowV,5,32,2008,11.652687407345388
2386,9490,NAmes,6,56,2006,11.79810440720389
1885,15578,Gilbert,6,0,2006,12.059803326028716
2483,7931,NAmes,5,48,2008,11.951180395901384
1159,5784,OldTown,5,13,2009,11.421906066583059
1215,7879,IDOTRR,4,59,2009,10.460242108190519
5005,12692,NoRidge,8,14,2007,12.971540487669746
2389,9120,BrkSide,7,58,2008,12.122691036591123
1637,7800,Sawyer,5,5,2009,11.77528972943772
1599,7535,NAmes,5,22,2007,11.695247021764184
1838,1890,BrDale,6,34,2007,11.635143097694478
2771,9803,Somerst,7,3,2008,12.33138283649562
2469,9170,Edwards,5,42,2007,11.84939770159144
3532,15602,Crawfor,7,13,2010,12.57418196709457
2514,2308,NPkVill,6,35,2009,11.898187865760873
2360,7596,OldTown,5,57,2009,11.732060994886899
2762,9554,SawyerW,8,12,2006,12.2783933071098
1921,7862,Somerst,6,0,2009,12.246734627249063
1879,9600,OldTown,7,3,2008,11.9891596439666
2302,9600,NAmes,5,50,2009,11.732060994886899
2481,14559,NAmes,5,9,2009,12.01309450854769
1842,6792,NridgHt,7,0,2006,12.219309648562168
2183,9100,NAmes,5,48,2006,11.77452020265869
1900,9187,Mitchel,6,24,2007,11.805595078933049
989,10594,Crawfor,5,57,2007,11.477298287327077
4356,12220,NridgHt,10,0,2009,12.906346868281233
2702,10448,NWAmes,6,37,2009,11.970350312009105
3233,10208,NoRidge,7,12,2009,12.487485104968359
3048,9531,CollgCr,6,9,2007,12.259613412458204
2362,10918,Crawfor,7,5,2009,12.363076394339839
1294,10800,OldTown,4,8,2008,11.573550086786664
2357,11988,NAmes,6,50,2007,11.918390573078392
2483,5000,BrkSide,6,56,2006,11.976659481202368
