Total_size,LotArea,Neighborhood,OverallQual,Age_at_sale,YrSold
3259.0,10603,Somerst,8,3,2009
2353.0,8125,Somerst,8,0,2009
3803.0,10625,Somerst,7,2,2009
3272.0,8736,Somerst,7,5,2009
2691.0,8127,Somerst,7,6,2009
1794.0,9605,SawyerW,7,2,2009
1679.0,7500,SawyerW,7,3,2009
1158.0,7500,SawyerW,6,5,2009
2290.0,10628,SawyerW,7,5,2009
3647.0,10141,SawyerW,8,5,2009
1690.0,13072,SawyerW,7,4,2009
1114.0,13072,SawyerW,5,5,2009
2526.0,12450,SawyerW,5,5,2009
2238.0,7328,SawyerW,7,0,2009
3318.0,11492,SawyerW,7,12,2009
2674.0,7703,SawyerW,6,17,2009
1874.0,7175,SawyerW,6,18,2009
2667.0,9109,SawyerW,7,15,2009
2196.0,10274,SawyerW,6,23,2009
2494.0,8250,SawyerW,6,28,2009
2332.0,9750,Sawyer,5,47,2009
2256.0,8499,Sawyer,5,48,2009
2168.0,9079,Sawyer,5,48,2009
1852.0,9316,Sawyer,5,44,2009
1836.0,7791,Sawyer,5,14,2009
1894.0,7150,Sawyer,5,47,2009
4703.0,15676,Veenker,8,29,2009
3096.0,11949,NoRidge,7,1,2009
3709.0,2880,Somerst,7,4,2009
2287.0,3830,Somerst,6,1,2009
2859.0,4217,Somerst,6,1,2009
2459.0,2998,Somerst,6,9,2009
2507.0,3768,Somerst,7,10,2009
3724.0,14694,Veenker,8,1,2009
2401.0,15417,Veenker,7,28,2009
3026.0,9600,Veenker,8,33,2009
3453.0,12732,NWAmes,7,35,2009
3155.0,10400,NWAmes,6,12,2009
2538.0,9600,NWAmes,5,40,2009
2507.0,9000,NWAmes,6,40,2009
3240.0,13774,NWAmes,7,17,2009
1824.0,7130,NAmes,5,42,2009
2008.0,9600,NAmes,5,42,2009
3257.0,9600,NWAmes,7,35,2009
2777.0,16500,NWAmes,6,38,2009
2024.0,7436,NAmes,4,49,2009
1575.0,8125,NAmes,5,50,2009
2905.0,9450,NAmes,4,52,2009
3130.0,13495,NAmes,5,53,2009
2745.0,9350,NAmes,5,14,2009
2810.0,10500,NAmes,5,45,2009
3077.0,8970,NAmes,5,44,2009
2512.0,11475,NAmes,6,48,2009
1637.0,9768,NAmes,5,54,2009
3414.0,9900,NAmes,6,42,2009
3295.0,10573,NAmes,6,48,2009
3496.0,14695,NAmes,6,1,2009
2286.0,8760,NAmes,5,53,2009
2314.0,12285,NAmes,7,49,2009
1993.0,9240,NAmes,6,11,2009
2143.0,8750,NAmes,5,53,2009
2387.0,8750,NAmes,5,54,2009
2399.0,10400,NAmes,4,53,2009
2361.0,9482,NAmes,5,51,2009
1849.0,8128,NAmes,6,55,2009
1900.0,13070,NAmes,5,58,2009
1733.0,8480,NAmes,5,59,2009
2192.0,7626,NAmes,5,4,2009
1826.0,9533,NAmes,5,56,2009
2636.0,11419,NAmes,7,10,2009
1836.0,9600,NAmes,5,59,2009
1158.0,5470,OldTown,3,51,2009
2072.0,10800,OldTown,5,3,2009
1320.0,8146,OldTown,4,6,2009
1342.0,10230,OldTown,5,59,2009
1841.0,10410,OldTown,4,59,2009
2314.0,7200,OldTown,7,1,2009
599.0,5400,OldTown,2,59,2009
1422.0,10800,OldTown,5,59,2009
1045.0,10800,OldTown,3,11,2009
3451.0,9671,NAmes,6,40,2009
2128.0,10143,NAmes,6,46,2009
2452.0,11500,NAmes,6,42,2009
2176.0,8010,NAmes,6,2,2009
1959.0,10454,NAmes,6,52,2009
1526.0,9000,NAmes,6,51,2009
2654.0,8064,NAmes,6,59,2009
1335.0,7350,NAmes,5,51,2009
1704.0,7200,NAmes,5,57,2009
1999.0,8000,NAmes,5,50,2009
1845.0,10800,NAmes,4,13,2009
1760.0,8064,NAmes,6,15,2009
2289.0,7570,NAmes,6,45,2009
2446.0,8604,NAmes,5,31,2009
2135.0,7936,NAmes,6,46,2009
1540.0,4080,OldTown,6,11,2009
2901.0,10307,OldTown,6,59,2009
1778.0,15660,OldTown,5,6,2009
1464.0,9900,OldTown,5,7,2009
2379.0,6406,OldTown,5,59,2009
1701.0,7627,OldTown,4,59,2009
1447.0,10134,OldTown,5,59,2009
2020.0,6000,OldTown,5,39,2009
1149.0,7404,OldTown,4,59,2009
920.0,5925,OldTown,2,59,2009
1079.0,8520,OldTown,5,59,2009
2230.0,9600,OldTown,4,59,2009
2364.0,8400,OldTown,6,59,2009
1568.0,3600,OldTown,6,2,2009
816.0,3300,OldTown,4,59,2009
1251.0,5400,OldTown,6,59,2009
2161.0,9720,OldTown,6,7,2009
797.0,9392,IDOTRR,3,59,2009
1648.0,6615,BrkSide,6,59,2009
1990.0,4960,BrkSide,5,27,2009
1682.0,6000,BrkSide,5,59,2009
1259.0,6120,BrkSide,5,10,2009
2105.0,6120,BrkSide,5,59,2009
2390.0,8635,BrkSide,5,59,2009
2344.0,8094,OldTown,6,59,2009
2160.0,9928,OldTown,7,15,2009
2128.0,3000,OldTown,5,59,2009
2768.0,6876,IDOTRR,6,59,2009
1806.0,5775,OldTown,6,7,2009
2033.0,5852,OldTown,7,9,2009
2050.0,5160,IDOTRR,6,59,2009
1704.0,5160,IDOTRR,4,59,2009
2249.0,10320,IDOTRR,6,44,2009
924.0,4280,Sawyer,4,8,2009
2400.0,10800,Edwards,5,21,2009
2556.0,10547,Edwards,5,31,2009
1338.0,9780,Edwards,5,59,2009
2247.0,11625,Sawyer,5,42,2009
1994.0,8014,Sawyer,6,31,2009
1899.0,15400,Sawyer,5,48,2009
2206.0,15312,Sawyer,6,49,2009
2407.0,15584,ClearCr,5,53,2009
660.0,9000,Sawyer,2,59,2009
1881.0,15635,Edwards,4,55,2009
1670.0,9571,Edwards,5,53,2009
2221.0,9350,Edwards,6,59,2009
1514.0,7440,Edwards,5,55,2009
2260.0,4235,Edwards,5,25,2009
2269.0,10778,SawyerW,7,18,2009
2434.0,19255,SawyerW,6,26,2009
2826.0,10560,SawyerW,7,15,2009
2592.0,26400,SawyerW,5,2,2009
2948.0,7018,SawyerW,5,30,2009
1935.0,7018,SawyerW,5,30,2009
2995.0,7040,SawyerW,5,30,2009
1913.0,7007,SawyerW,5,30,2009
4427.0,11855,SawyerW,7,9,2009
4427.0,7939,SawyerW,7,9,2009
4427.0,7976,SawyerW,7,9,2009
3839.0,10933,CollgCr,9,0,2009
3670.0,10816,CollgCr,9,1,2009
2372.0,9178,CollgCr,8,1,2009
3721.0,11422,CollgCr,8,1,2009
2854.0,6762,CollgCr,7,2,2009
2936.0,10324,CollgCr,8,1,2009
2366.0,11645,CollgCr,8,3,2009
1862.0,11646,CollgCr,6,3,2009
3084.0,16698,ClearCr,7,16,2009
2185.0,9757,CollgCr,5,15,2009
2952.0,14753,CollgCr,7,11,2009
2870.0,8750,CollgCr,6,11,2009
3280.0,10739,CollgCr,7,7,2009
2124.0,11166,CollgCr,7,8,2009
1875.0,16269,CollgCr,5,31,2009
2140.0,6950,CollgCr,5,30,2009
4076.0,11664,CollgCr,7,7,2009
2754.0,12334,CollgCr,8,6,2009
2275.0,8749,CollgCr,7,7,2009
2478.0,11250,CollgCr,7,8,2009
3280.0,15750,CollgCr,8,9,2009
3711.0,12782,CollgCr,8,6,2009
3039.0,8750,CollgCr,7,11,2009
3890.0,10200,CollgCr,8,2,2009
1836.0,11069,CollgCr,6,2,2009
2092.0,10682,Edwards,4,38,2009
2144.0,3675,Edwards,6,3,2009
1771.0,6410,Edwards,4,50,2009
2641.0,11767,Edwards,5,59,2009
1678.0,10926,Edwards,5,50,2009
2419.0,11767,Edwards,5,53,2009
2180.0,8212,Edwards,5,59,2009
2350.0,6300,SWISU,5,59,2009
1422.0,5707,SWISU,6,59,2009
1672.0,8574,Crawfor,6,9,2009
1443.0,7155,Crawfor,7,19,2009
2735.0,13680,Crawfor,5,59,2009
2373.0,14680,Crawfor,5,49,2009
3126.0,8145,Crawfor,7,59,2009
2350.0,9100,Crawfor,5,55,2009
2964.0,13339,Crawfor,6,49,2009
2637.0,15600,Crawfor,5,4,2009
3701.0,17500,Crawfor,6,55,2009
1484.0,1733,Blueste,6,29,2009
2162.0,1488,Blueste,6,17,2009
1691.0,1612,Blueste,6,29,2009
2937.0,13607,Crawfor,6,23,2009
4138.0,17597,Crawfor,7,0,2009
2432.0,8660,IDOTRR,5,16,2009
772.0,10200,IDOTRR,4,59,2009
3606.0,3843,Crawfor,8,1,2009
1090.0,21780,IDOTRR,2,59,2009
3389.0,10125,Mitchel,8,8,2009
2044.0,9750,Mitchel,6,32,2009
2785.0,9360,Mitchel,6,32,2009
2322.0,11070,Mitchel,5,18,2009
4574.0,13438,Timber,9,1,2009
3641.0,14463,Timber,9,1,2009
3139.0,9839,Timber,6,3,2009
3585.0,14419,Timber,7,20,2009
2500.0,9157,Timber,7,6,2009
4538.0,12633,Timber,9,2,2009
1924.0,12518,Mitchel,5,41,2009
2502.0,13383,Mitchel,5,9,2009
1928.0,7689,Mitchel,5,37,2009
1904.0,7706,Mitchel,6,13,2009
2409.0,7669,Mitchel,5,16,2009
2057.0,10429,Mitchel,5,17,2009
3314.0,10457,Mitchel,5,40,2009
2780.0,8702,Gilbert,6,10,2008
2366.0,8139,Gilbert,6,12,2008
2927.0,9535,Gilbert,6,10,2008
2160.0,15038,Gilbert,6,12,2008
2238.0,14137,Gilbert,5,11,2008
2866.0,6264,StoneBr,8,11,2008
1786.0,5070,StoneBr,8,16,2008
2093.0,11184,Gilbert,6,10,2008
2629.0,14067,Gilbert,6,17,2008
2118.0,5950,StoneBr,8,19,2008
3199.0,13543,StoneBr,8,3,2008
3891.0,15401,StoneBr,9,4,2008
1969.0,31220,Gilbert,6,56,2008
3301.0,8118,StoneBr,9,1,2008
2226.0,47280,Gilbert,6,58,2008
3199.0,12680,NWAmes,7,20,2008
2605.0,10825,NWAmes,7,25,2008
4006.0,18559,NWAmes,7,30,2008
3646.0,14450,NWAmes,7,29,2008
2610.0,13068,NWAmes,6,32,2008
2533.0,10400,NWAmes,7,20,2008
2072.0,9743,NWAmes,5,39,2008
5142.0,12511,NWAmes,7,30,2008
1917.0,10400,NWAmes,6,32,2008
4150.0,14311,NWAmes,8,12,2008
2272.0,9000,NAmes,5,34,2008
1476.0,10295,NAmes,4,39,2008
2172.0,7560,NAmes,5,37,2008
1709.0,1680,BrDale,6,35,2008
1822.0,1890,BrDale,6,36,2008
1916.0,1680,BrDale,5,36,2008
2496.0,2308,NPkVill,6,33,2008
1873.0,2529,NPkVill,7,31,2008
3499.0,12704,NridgHt,8,1,2008
5337.0,13693,NridgHt,8,1,2008
4031.0,14418,NridgHt,9,1,2008
5018.0,13418,NridgHt,9,2,2008
5022.0,12539,NridgHt,10,2,2008
4583.0,12151,NridgHt,9,3,2008
2784.0,8899,NridgHt,8,1,2008
3944.0,10574,NridgHt,8,4,2008
5516.0,12720,NridgHt,10,5,2008
3456.0,10845,NridgHt,8,4,2008
4470.0,16900,NridgHt,8,6,2008
3485.0,16451,NridgHt,8,5,2008
3108.0,10110,NridgHt,9,0,2008
1871.0,12304,NridgHt,7,3,2008
3948.0,8232,NridgHt,9,0,2008
2738.0,6240,NridgHt,8,1,2008
1916.0,6240,NridgHt,8,1,2008
2100.0,2448,NridgHt,7,4,2008
3172.0,3940,Blmngtn,7,5,2008
3331.0,3940,Blmngtn,7,4,2008
1674.0,3710,Blmngtn,7,0,2008
1908.0,9024,Gilbert,6,4,2008
2120.0,8010,Gilbert,7,5,2008
2420.0,8396,Gilbert,7,5,2008
2718.0,7301,NridgHt,7,0,2008
2867.0,8220,Gilbert,7,7,2008
1817.0,7750,Gilbert,7,6,2008
3592.0,12460,Gilbert,7,8,2008
2101.0,8390,Gilbert,7,9,2008
2715.0,9660,NoRidge,8,11,2008
2859.0,11000,NoRidge,9,8,2008
4604.0,11675,NoRidge,8,10,2008
3552.0,10990,NoRidge,7,11,2008
3252.0,11929,NoRidge,8,13,2008
4060.0,10010,NoRidge,7,14,2008
3316.0,13253,Somerst,7,2,2008
2712.0,9801,Somerst,8,1,2008
3483.0,9428,Somerst,8,0,2008
2606.0,10037,Somerst,8,1,2008
1984.0,8640,Somerst,8,0,2008
2320.0,10625,Somerst,8,1,2008
2582.0,7500,Somerst,7,0,2008
2873.0,10110,SawyerW,6,5,2008
2141.0,12774,SawyerW,7,4,2008
1255.0,13072,SawyerW,6,2,2008
1645.0,9260,SawyerW,7,1,2008
2496.0,8453,SawyerW,6,13,2008
2756.0,8480,SawyerW,6,14,2008
2677.0,14565,SawyerW,7,13,2008
2776.0,8450,SawyerW,6,7,2008
2640.0,8285,SawyerW,7,16,2008
2220.0,9100,Sawyer,5,45,2008
2048.0,8100,Sawyer,5,1,2008
2088.0,8450,Sawyer,5,40,2008
1629.0,6360,Sawyer,5,45,2008
2714.0,19508,Veenker,6,34,2008
3132.0,10759,Sawyer,5,36,2008
3860.0,9205,NoRidge,6,17,2008
3942.0,11025,NoRidge,9,14,2008
1764.0,3435,Somerst,7,3,2008
2070.0,3180,Somerst,6,3,2008
1932.0,3180,Somerst,7,1,2008
2539.0,2280,Somerst,6,9,2008
3160.0,4765,Somerst,9,8,2008
2859.0,4538,Somerst,9,7,2008
2971.0,4385,Somerst,9,7,2008
3182.0,4109,Somerst,9,8,2008
2466.0,2160,Somerst,7,8,2008
3016.0,10646,Somerst,7,7,2008
2678.0,2645,Somerst,8,9,2008
2900.0,2645,Somerst,8,8,2008
4209.0,3951,Somerst,10,9,2008
2946.0,11064,Veenker,8,13,2008
4218.0,24572,Veenker,9,31,2008
3647.0,16280,Veenker,8,1,2008
2281.0,7500,Somerst,7,6,2008
2771.0,11104,NWAmes,6,39,2008
2553.0,11050,NWAmes,6,40,2008
3095.0,15387,NWAmes,7,41,2008
2109.0,9750,NWAmes,5,43,2008
2666.0,8814,NAmes,5,40,2008
2217.0,8125,NAmes,5,3,2008
2304.0,11072,NAmes,5,43,2008
2717.0,13355,NWAmes,7,37,2008
1281.0,7785,NAmes,5,52,2008
1565.0,9900,NAmes,5,47,2008
1910.0,11332,NAmes,5,8,2008
1257.0,4882,BrkSide,4,58,2008
2604.0,9600,NAmes,5,48,2008
1941.0,9600,NAmes,5,2,2008
1879.0,7584,NAmes,5,55,2008
3043.0,14670,NAmes,6,9,2008
2141.0,8856,NAmes,5,51,2008
2973.0,9840,NAmes,5,10,2008
2969.0,13200,NAmes,6,50,2008
2262.0,10425,NAmes,5,50,2008
1270.0,11556,NAmes,5,56,2008
2484.0,9373,NAmes,5,55,2008
2102.0,12774,NAmes,5,55,2008
2330.0,14250,NAmes,6,51,2008
2065.0,8838,NAmes,5,26,2008
2308.0,12436,NAmes,5,51,2008
1259.0,10122,OldTown,4,58,2008
1447.0,7506,OldTown,5,58,2008
980.0,5400,OldTown,4,3,2008
2924.0,10836,OldTown,5,58,2008
2160.0,10180,NAmes,5,40,2008
2444.0,11355,NAmes,7,7,2008
2179.0,12929,NAmes,6,15,2008
1884.0,7200,NAmes,5,57,2008
2531.0,8000,NAmes,5,49,2008
2165.0,8000,NAmes,5,46,2008
2211.0,8064,NAmes,6,58,2008
1264.0,6390,NAmes,6,54,2008
2191.0,7200,NAmes,6,54,2008
1800.0,8513,NAmes,5,47,2008
2438.0,7200,NAmes,5,41,2008
1175.0,7200,NAmes,5,54,2008
1381.0,7590,NAmes,5,45,2008
1537.0,9836,OldTown,6,0,2008
1723.0,9184,OldTown,5,3,2008
1690.0,4800,OldTown,5,5,2008
928.0,4800,OldTown,5,58,2008
1764.0,6000,OldTown,6,3,2008
1486.0,11426,OldTown,4,12,2008
2096.0,7628,OldTown,4,23,2008
2325.0,7308,OldTown,5,58,2008
1027.0,5400,OldTown,7,2,2008
2854.0,10800,OldTown,6,58,2008
1099.0,6756,OldTown,5,58,2008
1080.0,5914,OldTown,5,12,2008
2813.0,9000,OldTown,5,58,2008
704.0,7311,OldTown,2,58,2008
1588.0,12205,OldTown,3,16,2008
2047.0,9142,OldTown,5,2,2008
1854.0,5350,OldTown,7,43,2008
1325.0,9143,OldTown,5,5,2008
2977.0,9600,OldTown,5,48,2008
1540.0,6000,OldTown,5,3,2008
1486.0,11340,OldTown,2,58,2008
2837.0,10800,OldTown,7,9,2008
1492.0,9750,OldTown,5,49,2008
1401.0,8516,OldTown,4,2,2008
2110.0,7111,BrkSide,5,25,2008
1920.0,7425,BrkSide,7,58,2008
2153.0,7010,BrkSide,5,58,2008
2050.0,5000,BrkSide,5,2,2008
1490.0,5870,BrkSide,6,8,2008
2433.0,6000,BrkSide,6,19,2008
1319.0,6000,BrkSide,5,5,2008
2532.0,6000,BrkSide,6,8,2008
1846.0,6000,BrkSide,6,58,2008
1173.0,5000,BrkSide,6,58,2008
1639.0,5520,BrkSide,5,11,2008
,5940,BrkSide,4,58,2008
1552.0,6240,BrkSide,4,58,2008
972.0,6120,BrkSide,5,13,2008
2949.0,6240,BrkSide,7,58,2008
2681.0,6120,OldTown,5,58,2008
2388.0,9144,BrkSide,6,4,2008
2540.0,8094,OldTown,6,25,2008
1837.0,4347,OldTown,6,58,2008
1208.0,6291,IDOTRR,6,58,2008
2216.0,10266,IDOTRR,6,56,2008
1672.0,6876,IDOTRR,6,50,2008
1708.0,10320,IDOTRR,5,30,2008
1360.0,7200,IDOTRR,6,16,2008
1741.0,7006,IDOTRR,6,58,2008
1335.0,10320,IDOTRR,5,17,2008
1344.0,10320,IDOTRR,3,58,2008
1294.0,9488,Sawyer,5,15,2008
2299.0,11235,Sawyer,5,45,2008
